kind,source,target,topic_type
publish,/drop_aligner,/uav_vision/release_evidence,uav_vision/ReleaseEvidence
publish,/drop_aligner,/uav_vision/release_evidence_context,uav_vision/ReleaseEvidenceContext
publish,/target_memory,/uav_vision/selected_target,uav_vision/TargetCandidate
publish,/target_memory,/uav_vision/targets,uav_vision/TargetCandidateArray
publish,/waypoint_generator,/waypoint_generator/waypoints,nav_msgs/Path
publish,/waypoint_generator,/waypoint_generator/waypoints_vis,geometry_msgs/PoseArray
subscribe,/clock,/circle_detector,rosgraph_msgs/Clock
subscribe,/clock,/cross_detector,rosgraph_msgs/Clock
subscribe,/clock,/detection_fusion,rosgraph_msgs/Clock
subscribe,/clock,/downward_camera_extrinsic,rosgraph_msgs/Clock
subscribe,/clock,/drop_aligner,rosgraph_msgs/Clock
subscribe,/clock,/fast_planner_node,rosgraph_msgs/Clock
subscribe,/clock,/freedom,rosgraph_msgs/Clock
subscribe,/clock,/gazebo,rosgraph_msgs/Clock
subscribe,/clock,/gazebo_contact_monitor,rosgraph_msgs/Clock
subscribe,/clock,/guarded_servo_proxy,rosgraph_msgs/Clock
subscribe,/clock,/landing_detector,rosgraph_msgs/Clock
subscribe,/clock,/laserMapping,rosgraph_msgs/Clock
subscribe,/clock,/mavros,rosgraph_msgs/Clock
subscribe,/clock,/mock_raw_servo_server,rosgraph_msgs/Clock
subscribe,/clock,/navigation/mission_manager,rosgraph_msgs/Clock
subscribe,/clock,/navigation/planner_bridge,rosgraph_msgs/Clock
subscribe,/clock,/navigation_mission_start_gate,rosgraph_msgs/Clock
subscribe,/clock,/navigation_vcl06_assertion,rosgraph_msgs/Clock
subscribe,/clock,/patrol_control,rosgraph_msgs/Clock
subscribe,/clock,/planner_anchor_spawner,rosgraph_msgs/Clock
subscribe,/clock,/random_field_spawner,rosgraph_msgs/Clock
subscribe,/clock,/release_permission_arbiter,rosgraph_msgs/Clock
subscribe,/clock,/rosout,rosgraph_msgs/Clock
subscribe,/clock,/static_pointcloud_viz,rosgraph_msgs/Clock
subscribe,/clock,/target_detector,rosgraph_msgs/Clock
subscribe,/clock,/target_map_projector,rosgraph_msgs/Clock
subscribe,/clock,/target_memory,rosgraph_msgs/Clock
subscribe,/clock,/target_refiner,rosgraph_msgs/Clock
subscribe,/clock,/traj_server,rosgraph_msgs/Clock
subscribe,/clock,/uav_arming_node,rosgraph_msgs/Clock
subscribe,/clock,/vision_pose_tf,rosgraph_msgs/Clock
subscribe,/clock,/visual_delivery_audit,rosgraph_msgs/Clock
subscribe,/clock,/waypoint_generator,rosgraph_msgs/Clock
subscribe,/cloud_registered_body,/freedom,sensor_msgs/PointCloud2
subscribe,/detect/point_class,/navigation/planner_bridge,std_msgs/Int8
subscribe,/detect/point_class,/release_permission_arbiter,std_msgs/Int8
