topic,type,publishers,subscribers
/mavros/setpoint_position/global,geographic_msgs/GeoPoseStamped,,/mavros
/mavros/setpoint_position/global_to_local,geographic_msgs/GeoPoseStamped,,/mavros
/mavros/setpoint_position/local,geometry_msgs/PoseStamped,/patrol_control,/mavros
/mavros/setpoint_raw/attitude,mavros_msgs/AttitudeTarget,,/mavros
/mavros/setpoint_raw/global,mavros_msgs/GlobalPositionTarget,,/mavros
/mavros/setpoint_raw/local,mavros_msgs/PositionTarget,,/mavros
/mavros/setpoint_raw/target_attitude,mavros_msgs/AttitudeTarget,/mavros,
/mavros/setpoint_raw/target_global,mavros_msgs/GlobalPositionTarget,/mavros,
/mavros/setpoint_raw/target_local,mavros_msgs/PositionTarget,/mavros,
/mavros/setpoint_trajectory/desired,nav_msgs/Path,/mavros,
/mavros/setpoint_trajectory/local,trajectory_msgs/MultiDOFJointTrajectory,,/mavros
/mavros/setpoint_velocity/cmd_vel,geometry_msgs/TwistStamped,,/mavros
/mavros/setpoint_velocity/cmd_vel_unstamped,geometry_msgs/Twist,,/mavros
/mavros/state,mavros_msgs/State,/mavros,/navigation_vcl06_assertion;/uav_arming_node
/mavros/statustext/recv,mavros_msgs/StatusText,/mavros,
/mavros/statustext/send,mavros_msgs/StatusText,,/mavros
/mavros/sys_status,mavros_msgs/SysStatus,/mavros,
/mavros/target_actuator_control,mavros_msgs/ActuatorControl,/mavros,
/mavros/terrain/report,mavros_msgs/TerrainReport,/mavros,
/mavros/time_reference,sensor_msgs/TimeReference,/mavros,
/mavros/timesync_status,mavros_msgs/TimesyncStatus,/mavros,
/mavros/trajectory/desired,mavros_msgs/Trajectory,/mavros,
/mavros/trajectory/generated,mavros_msgs/Trajectory,,/mavros
/mavros/trajectory/path,nav_msgs/Path,,/mavros
/mavros/tunnel/in,mavros_msgs/Tunnel,,/mavros
/mavros/tunnel/out,mavros_msgs/Tunnel,/mavros,
/mavros/vfr_hud,mavros_msgs/VFR_HUD,/mavros,
